home_team,away_team
Morocco,Comoros
Mali,Zambia
Egypt,Zimbabwe
South Africa,Angola
Nigeria,Tanzania
Tunisia,Uganda
Senegal,Botswana
DR Congo,Benin
Algeria,Sudan
Burkina Faso,Equatorial Guinea
Ivory Coast,Mozambique
Cameroon,Gabon
Morocco,Mali
Zambia,Comoros
Angola,Zimbabwe
Egypt,South Africa
Uganda,Tanzania
Nigeria,Tunisia
Benin,Botswana
Senegal,DR Congo
Algeria,Burkina Faso
Equatorial Guinea,Sudan
Gabon,Mozambique
Ivory Coast,Cameroon
Comoros,Mali
Zambia,Morocco
Zimbabwe,South Africa
Angola,Egypt
Uganda,Nigeria
Tanzania,Tunisia
Botswana,DR Congo
Benin,Senegal
Equatorial Guinea,Algeria
Sudan,Burkina Faso
Mozambique,Cameroon
Gabon,Ivory Coast
